資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130619",="00846B","35.795","74,350,000","2,661,323,200"
"1130619",="00845B","33.409","201,551,000","6,733,599,870"
"1130619",="00844B","33.491","213,675,000","7,156,098,581"
"1130619",="00842B","33.67","9,767,000","328,815,521"
"1130619",="00841B","32.01","80,940,000","2,590,887,740"
"1130619",="00840B","32.216","59,431,000","1,914,618,705"
"1130619",="00836B","31.422","378,041,000","11,878,937,451"
"1130619",="00834B","35.353","20,198,000","714,059,542"
"1130619",="00831B","40.802","100,000","4,080,157"
"1130619",="00799B","33.236","9,036,000","300,321,626"
"1130619",="00795B","30.534","1,550,098,000","47,329,894,005"
